Country,Year,Date,Holiday_Name,Local_Name,Type,Description
GB,2025,2025-01-01,New Year's Day,,National holiday,"New Year's Day marks the start of a new year in the Gregorian calendar, the official calendar used in the United Kingdom."
GB,2025,2025-01-02,Last day of Hanukkah,,"Observance, Hebrew",The eighth and last day of Hanukkah marks the end of a period in which Jews commemorate the miracle of the cruse of oil.
GB,2025,2025-01-05,Twelfth Night,,"Observance, Christian",Twelfth Night is a observance and Christian holiday in the United Kingdom
GB,2025,2025-01-06,Epiphany,,"Observance, Christian",Epiphany marks the visit of the Magi to Jesus and celebrates the revelation of God incarnate as Jesus Christ.
GB,2025,2025-01-07,Orthodox Christmas Day,,"Observance, Orthodox",Orthodox Christians in the United Kingdom celebrate the Nativity of Christ (Jesus' birth) on the Orthodox Christmas Day.
GB,2025,2025-01-14,Orthodox New Year,,"Observance, Orthodox",Orthodox Christians in the United Kingdom mark the start of a new calendar year on either January 1 or 14 in the Gregorian calendar.
GB,2025,2025-01-27,Isra and Mi'raj,,"Observance, Muslim","Isra and Mi'raj marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven, and returned."
GB,2025,2025-01-29,Lunar New Year,,Observance,Lunar New Year in the United Kingdom (UK) marks the start of the New Year in the Chinese calendar.
GB,2025,2025-02-13,Tu B'Shevat (Arbor Day),,"Observance, Hebrew","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years."
GB,2025,2025-02-14,Valentine's Day,,Observance,Valentine’s Day is celebrated in the UK as a day of love and falls on February 14 every year.
GB,2025,2025-03-01,Ramadan Start,,"Observance, Muslim","Muslims in the United Kingdom welcome Ramadan as a period of fasting, self-evaluation, and spiritual growth."
GB,2025,2025-03-01,St. David's Day,,"Local observance, Christian","People in Wales and Welsh communities around the world celebrate the life of their patron saint, St David, and the culture of their country on St David’s Day."
GB,2025,2025-03-02,Ramadan Start,,"Observance, Muslim","Muslims in the United Kingdom welcome Ramadan as a period of fasting, self-evaluation, and spiritual growth."
GB,2025,2025-03-04,Carnival / Shrove Tuesday / Pancake Day,,"Observance, Christian",Shrove Tuesday is also known as Pancake Tuesday in the United Kingdom.
GB,2025,2025-03-05,Carnival / Ash Wednesday,,"Observance, Christian",Ash Wednesday is a Christian observance in the United Kingdom. It is the first day of Lent.
GB,2025,2025-03-14,Purim,,"Observance, Hebrew","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther."
GB,2025,2025-03-17,St Patrick's Day,,"Local holiday, Christian","St Patrick's Day remembers the life and deeds of St Patrick, one of Ireland's patron saints. It also celebrates Irish culture."
GB,2025,2025-03-26,Lailat al-Qadr,,"Observance, Muslim","Laylatul Qadr, the Night of Power, is the holiest day of the Islamic calendar year."
GB,2025,2025-03-30,Eid ul Fitr,,"Observance, Muslim",Eid ul-Fitr is a Muslim celebration that marks the end of the month-long fast of Ramadan.
GB,2025,2025-03-30,Mother's Day,,Observance,"Mother's Day, or Mothering Sunday, is traditionally a day to visit your mother church. It is now an occasion to bring gifts to your own mother."
GB,2025,2025-03-31,Eid ul Fitr,,"Observance, Muslim",Eid ul-Fitr is a Muslim celebration that marks the end of the month-long fast of Ramadan.
GB,2025,2025-04-13,First day of Passover,,"Observance, Hebrew",Passover marks the Israelites' liberation from slavery and their exodus from Egypt around 3000 years ago.
GB,2025,2025-04-13,Palm Sunday,,"Observance, Christian",Palm Sunday in the United Kingdom celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.
GB,2025,2025-04-17,Maundy Thursday,,"Observance, Christian",Many Christians in the United Kingdom celebrate Maundy Thursday on the Thursday before Good Friday.
GB,2025,2025-04-18,Good Friday,,"National holiday, Christian",Good Friday is just before Easter Sunday and is a public holiday in the United Kingdom.
GB,2025,2025-04-18,Orthodox Good Friday,,"Observance, Orthodox","Many Orthodox Christians in the United Kingdom remember the events leading up to Jesus Christ's crucifixion on Great Friday, also known as Holy Friday."
GB,2025,2025-04-19,Holy Saturday,,"Observance, Christian",Holy Saturday is the day before Easter Sunday in the United Kingdom.
GB,2025,2025-04-19,Orthodox Holy Saturday,,"Observance, Orthodox",Many Orthodox Christians in the United Kingdom remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.
GB,2025,2025-04-20,Easter Sunday,,"Observance, Christian",Easter Sunday commemorates Jesus Christ's resurrection. The Easter egg hunt is one of the most popular Easter traditions
GB,2025,2025-04-20,Last day of Passover,,"Observance, Hebrew","On the 8th and last day of Passover, Jews in the UK commemorate the Parting of the Red Sea and the Israelites' escape from Egypt."
GB,2025,2025-04-20,Orthodox Easter,,"Observance, Orthodox","Many Orthodox Christians in the United Kingdom commemorate Jesus Christ’s resurrection on Easter Day, also known as Pascha."
GB,2025,2025-04-21,Easter Monday,,"Local observance, Christian","Easter Monday is the day after Easter Sunday. It is a bank holiday in England, Wales and Northern Ireland but not in Scotland."
GB,2025,2025-04-21,Easter Monday,,"Christian, Common local holiday","Easter Monday is the day after Easter Sunday. It is a bank holiday in England, Wales and Northern Ireland but not in Scotland."
GB,2025,2025-04-21,Orthodox Easter Monday,,"Observance, Orthodox",Many Orthodox churches in the United Kingdom observe Easter Monday on the day after the Orthodox Easter Sunday date.
