produit,gamme,theme,forme,prix,note,indications,composition,description,posologie,contre_indications,points_positifs,points_negatifs,verdict,note_intelligente,avis_clients,url_image,url_product,lifecycle,texte_rag
Aide minceur,Autres,Digestif,Gélule,24.9,4.0,"– Coupe faim
– Piège les sucres et les graisses
– Facilite la digestion",Agar agar,Boite de 30 gélules,"– 3 gélules par jour 1 /4 d’heure avant les principaux repas
avec un grand verre d’eau",Glucomannane,,,,,[],https://vital.com.tn/cdn/shop/products/aide-minceur-6.jpg,https://vital.com.tn/products/aide-minceur-6/,Croissance,"Produit: Aide minceur
Gamme: Autres
Theme: Digestif
Indications: – Coupe faim
– Piège les sucres et les graisses
– Facilite la digestion
Composition: Agar agar
Points positifs: 
Verdict: 
Avis clients: "
Aktiv Vital Arteres 90 Gélules,Aktiv Vital,Autre,,34.159,2.7,"Tonifier la circulation sanguine, prévenir l'athérosclérose, maintenir la tonicité circulatoire","Macérat d'ail (huile de colza et gousses d'ail), gélatine, macérat de gui (huile de colza et gui), macérat d'aubépine (huile de colza et fruit d'aubépine)",Doppelherz® aktiv Vital Artères est une combinaison d'extraits végétaux qui agissent de manière complémentaire pour tonifier la circulation sanguine tout en préservant la jeunesse des artères.,1 à 2 gélules trois fois par jour en cure de 3 mois renouvelables,Ne pas prendre en même temps que des anticoagulants. Déconseillé aux femmes enceintes et allaitantes. Arrêter la prise au moins une semaine avant tout acte chirurgical.,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""Excellent"", ""nice product"", ""Je n\u2019ai pas aim\u00e9 ces comprim\u00e9s. Ils contiennent du sulfate de zinc et m\u2019ont caus\u00e9 des effets secondaires tels que des naus\u00e9es et des maux d\u2019estomac lorsque je les ai utilis\u00e9s \u00e0 jeun. Il est donc recommand\u00e9 de les prendre apr\u00e8s avoir mang\u00e9."", ""Tres bien"", ""Haja top""]",,,Croissance/Promo,"Produit: Aktiv Vital Arteres 90 Gélules
Gamme: Aktiv Vital
Theme: Autre
Indications: Tonifier la circulation sanguine, prévenir l'athérosclérose, maintenir la tonicité circulatoire
Composition: Macérat d'ail (huile de colza et gousses d'ail), gélatine, macérat de gui (huile de colza et gui), macérat d'aubépine (huile de colza et fruit d'aubépine)
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: Excellent | nice product | Je n’ai pas aimé ces comprimés. Ils contiennent du sulfate de zinc et m’ont causé des effets secondaires tels que des nausées et des maux d’estomac lorsque je les ai utilisés à jeun. Il est donc recommandé de les prendre après avoir mangé."
AKTIV VITAL YEUX 30 COMPRIMES,Aktiv Vital,Autre,,33.234,4.5,"Préserver la santé des yeux, réduire la fatigue oculaire, prévenir la DMLA","Huile de poisson, gélatine, vitamine C, vitamine E, lutéine, zéaxanthine, zinc, sélénium","Une formule riche en nutriments essentiels pour la santé des yeux, avec lutéine, zéaxanthine, vitamines et oméga-3.","1 gélule par jour avec un grand verre d'eau, de préférence pendant un repas",Ne pas dépasser la posologie recommandée. Tenir hors de portée des enfants.,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""Excellent"", ""nice product"", ""Je n\u2019ai pas aim\u00e9 ces comprim\u00e9s. Ils contiennent du sulfate de zinc et m\u2019ont caus\u00e9 des effets secondaires tels que des naus\u00e9es et des maux d\u2019estomac lorsque je les ai utilis\u00e9s \u00e0 jeun. Il est donc recommand\u00e9 de les prendre apr\u00e8s avoir mang\u00e9."", ""Tres bien"", ""Haja top""]",,,Croissance,"Produit: AKTIV VITAL YEUX 30 COMPRIMES
Gamme: Aktiv Vital
Theme: Autre
Indications: Préserver la santé des yeux, réduire la fatigue oculaire, prévenir la DMLA
Composition: Huile de poisson, gélatine, vitamine C, vitamine E, lutéine, zéaxanthine, zinc, sélénium
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: Excellent | nice product | Je n’ai pas aimé ces comprimés. Ils contiennent du sulfate de zinc et m’ont causé des effets secondaires tels que des nausées et des maux d’estomac lorsque je les ai utilisés à jeun. Il est donc recommandé de les prendre après avoir mangé."
Aktiv Vital Yeux 30 Gélules,Aktiv Vital,Autre,,39.632,4.9,"Préserver la santé des yeux, réduire la fatigue oculaire, prévenir la DMLA","Huile de poisson, gélatine, vitamine C, vitamine E, lutéine, zéaxanthine, zinc, sélénium","Une formule riche en nutriments essentiels pour la santé des yeux, avec lutéine, zéaxanthine, vitamines et oméga-3.","1 gélule par jour avec un grand verre d'eau, de préférence pendant un repas",Ne pas dépasser la posologie recommandée. Tenir hors de portée des enfants.,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""Excellent"", ""nice product"", ""Je n\u2019ai pas aim\u00e9 ces comprim\u00e9s. Ils contiennent du sulfate de zinc et m\u2019ont caus\u00e9 des effets secondaires tels que des naus\u00e9es et des maux d\u2019estomac lorsque je les ai utilis\u00e9s \u00e0 jeun. Il est donc recommand\u00e9 de les prendre apr\u00e8s avoir mang\u00e9."", ""Tres bien"", ""Haja top""]",,,Croissance/Promo,"Produit: Aktiv Vital Yeux 30 Gélules
Gamme: Aktiv Vital
Theme: Autre
Indications: Préserver la santé des yeux, réduire la fatigue oculaire, prévenir la DMLA
Composition: Huile de poisson, gélatine, vitamine C, vitamine E, lutéine, zéaxanthine, zinc, sélénium
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: Excellent | nice product | Je n’ai pas aimé ces comprimés. Ils contiennent du sulfate de zinc et m’ont causé des effets secondaires tels que des nausées et des maux d’estomac lorsque je les ai utilisés à jeun. Il est donc recommandé de les prendre après avoir mangé."
AKTIV VITAL YEUX+OMEGA 3 30...,Aktiv Vital,Autre,,47.877,4.5,"Préserver la santé des yeux, réduire la fatigue oculaire, prévenir la DMLA","Huile de poisson, gélatine, vitamine C, vitamine E, lutéine, zéaxanthine, zinc, sélénium","Une formule riche en nutriments essentiels pour la santé des yeux, avec lutéine, zéaxanthine, vitamines et oméga-3.","1 gélule par jour avec un grand verre d'eau, de préférence pendant un repas",Ne pas dépasser la posologie recommandée. Tenir hors de portée des enfants.,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""Excellent"", ""nice product"", ""Je n\u2019ai pas aim\u00e9 ces comprim\u00e9s. Ils contiennent du sulfate de zinc et m\u2019ont caus\u00e9 des effets secondaires tels que des naus\u00e9es et des maux d\u2019estomac lorsque je les ai utilis\u00e9s \u00e0 jeun. Il est donc recommand\u00e9 de les prendre apr\u00e8s avoir mang\u00e9."", ""Tres bien"", ""Haja top""]",,,Croissance,"Produit: AKTIV VITAL YEUX+OMEGA 3 30...
Gamme: Aktiv Vital
Theme: Autre
Indications: Préserver la santé des yeux, réduire la fatigue oculaire, prévenir la DMLA
Composition: Huile de poisson, gélatine, vitamine C, vitamine E, lutéine, zéaxanthine, zinc, sélénium
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: Excellent | nice product | Je n’ai pas aimé ces comprimés. Ils contiennent du sulfate de zinc et m’ont causé des effets secondaires tels que des nausées et des maux d’estomac lorsque je les ai utilisés à jeun. Il est donc recommandé de les prendre après avoir mangé."
Aktiv Vital Yeux+Oméga-3 30 Gélules,Aktiv Vital,Autre,,44.681,4.6,"Préserver la santé des yeux, réduire la fatigue oculaire, prévenir la DMLA","Huile de poisson, gélatine, vitamine C, vitamine E, lutéine, zéaxanthine, zinc, sélénium","Une formule riche en nutriments essentiels pour la santé des yeux, avec lutéine, zéaxanthine, vitamines et oméga-3.","1 gélule par jour avec un grand verre d'eau, de préférence pendant un repas",Ne pas dépasser la posologie recommandée. Tenir hors de portée des enfants.,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""Excellent"", ""nice product"", ""Je n\u2019ai pas aim\u00e9 ces comprim\u00e9s. Ils contiennent du sulfate de zinc et m\u2019ont caus\u00e9 des effets secondaires tels que des naus\u00e9es et des maux d\u2019estomac lorsque je les ai utilis\u00e9s \u00e0 jeun. Il est donc recommand\u00e9 de les prendre apr\u00e8s avoir mang\u00e9."", ""Tres bien"", ""Haja top""]",,,Croissance/Promo,"Produit: Aktiv Vital Yeux+Oméga-3 30 Gélules
Gamme: Aktiv Vital
Theme: Autre
Indications: Préserver la santé des yeux, réduire la fatigue oculaire, prévenir la DMLA
Composition: Huile de poisson, gélatine, vitamine C, vitamine E, lutéine, zéaxanthine, zinc, sélénium
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: Excellent | nice product | Je n’ai pas aimé ces comprimés. Ils contiennent du sulfate de zinc et m’ont causé des effets secondaires tels que des nausées et des maux d’estomac lorsque je les ai utilisés à jeun. Il est donc recommandé de les prendre après avoir mangé."
Alcool de menthe,Autres,Digestif,Liquide,6.162,,"– Difficulté de digestion
– Réduire les douleurs abdominales","Alcool, Huile essentiel de Menthe",Flacon de 37 ml,Adulte : En cas de digestion difficile appliquer quelques gouttes en massant sur l’abdomen et sur la plante des pieds,Garder hors de la portée des enfants,,,,,[],https://vital.com.tn/cdn/shop/products/alcool-de-menthe-2-2.jpg,https://vital.com.tn/products/alcool-de-menthe-2-2/,Croissance,"Produit: Alcool de menthe
Gamme: Autres
Theme: Digestif
Indications: – Difficulté de digestion
– Réduire les douleurs abdominales
Composition: Alcool, Huile essentiel de Menthe
Points positifs: 
Verdict: 
Avis clients: "
Allergiplant,Autres,Autre,,16.11,5.0,"Équilibrer la réponse du système immunitaire, réduire les symptômes allergiques","Quercétine Sophorae japonica L, Méthyl-sulfonyl-méthane (MSM), Extrait sec de Cassis",Complément alimentaire pour équilibrer la réponse du système immunitaire contre les allergies.,2 gélules par jour,,,,,,[],https://vital.com.tn/cdn/shop/products/allergiplant.jpg,https://vital.com.tn/products/allergiplant/,Croissance,"Produit: Allergiplant
Gamme: Autres
Theme: Autre
Indications: Équilibrer la réponse du système immunitaire, réduire les symptômes allergiques
Composition: Quercétine Sophorae japonica L, Méthyl-sulfonyl-méthane (MSM), Extrait sec de Cassis
Points positifs: 
Verdict: 
Avis clients: "
ALVITYL COMPRIME VITALITE...,Autres,Autre,,30.983,4.7,,,"Alvityl ALVITYL COMPRIME VITALITE... Prix 30,983 TND 5 5 5 5 Ajouter au panier",,,,,,,[],,,Croissance,"Produit: ALVITYL COMPRIME VITALITE...
Gamme: Autres
Theme: Autre
Indications: 
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
ALVITYL VITALITE...,Autres,Autre,,30.983,4.7,,,"Alvityl ALVITYL VITALITE... Prix 30,983 TND 5 5 5 5 Ajouter au panier",,,,,,,[],,,Croissance,"Produit: ALVITYL VITALITE...
Gamme: Autres
Theme: Autre
Indications: 
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
